Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,8.794500,9.825000,8.675000,9.722000,9.722000,2210738000
2012-02-01,8.690500,9.678500,8.600000,8.984500,8.984500,2931608000
2012-03-01,8.994500,10.492500,8.829000,10.125500,10.125500,2259502000
2012-04-01,9.901000,11.692000,9.182500,11.595000,11.595000,2210708000
2012-05-01,11.470000,11.648500,10.355500,10.645500,10.645500,1855486000
2012-06-01,10.422000,11.417500,10.318500,11.417500,11.417500,1314912000
2012-07-01,11.465000,12.037000,10.630500,11.665000,11.665000,1546804000
2012-08-01,11.707000,12.500000,11.433000,12.413500,12.413500,1203848000
2012-09-01,12.413500,13.205500,12.233000,12.716000,12.716000,1271410000
2012-10-01,12.770000,13.095000,11.146000,11.644500,11.644500,1631370000
2012-11-01,11.711500,12.632500,10.909000,12.602500,12.602500,1344272000
2012-12-01,12.627000,13.155500,12.137500,12.543500,12.543500,1217424000
2013-01-01,12.804000,14.236000,12.663000,13.275000,13.275000,1684528000
2013-02-01,13.446500,13.715000,12.755500,13.213500,13.213500,1373234000
2013-03-01,13.163500,13.870000,12.603500,13.324500,13.324500,1170114000
2013-04-01,13.349000,13.790000,12.428000,12.690500,12.690500,1538324000
2013-05-01,12.695000,13.595500,12.287500,13.460000,13.460000,1181010000
2013-06-01,13.448000,14.167000,13.147500,13.884500,13.884500,1171516000
2013-07-01,13.950000,15.681000,13.858000,15.061000,15.061000,1350738000
2013-08-01,15.154000,15.310500,13.966500,14.049000,14.049000,875478000
2013-09-01,14.236500,16.028500,14.208500,15.632000,15.632000,869376000
2013-10-01,15.711000,18.420000,14.825000,18.201500,18.201500,1545908000
2013-11-01,18.281500,19.705000,17.094000,19.681000,19.681000,1084154000
2013-12-01,19.950001,20.281500,18.975000,19.939501,19.939501,1113734000
2014-01-01,19.940001,20.403000,17.888000,17.934500,17.934500,1620238000
2014-02-01,17.948999,18.293501,16.886499,18.105000,18.105000,1660180000
2014-03-01,17.937000,19.155500,16.544001,16.818501,16.818501,1505070000
2014-04-01,16.904499,17.415001,14.400000,15.206500,15.206500,2765574000
2014-05-01,15.206500,15.743500,14.219000,15.627500,15.627500,1571584000
2014-06-01,15.629500,17.035999,15.192000,16.239000,16.239000,1531602000
2014-07-01,16.292999,18.242500,15.593000,15.649500,15.649500,1988520000
2014-08-01,15.684500,17.333500,15.229500,16.952000,16.952000,1240634000
2014-09-01,16.999001,17.469000,15.882000,16.122000,16.122000,1360656000
2014-10-01,16.101999,16.257999,14.200000,15.273000,15.273000,2221174000
2014-11-01,15.312000,17.063000,14.614500,16.931999,16.931999,1379674000
2014-12-01,16.906000,17.032000,14.651500,15.517500,15.517500,1736428000
2015-01-01,15.629000,17.975000,14.262500,17.726500,17.726500,2061142000
2015-02-01,17.502501,19.468500,17.500500,19.007999,19.007999,1416924000
2015-03-01,19.042500,19.421000,18.282499,18.605000,18.605000,1110056000
2015-04-01,18.605000,22.632500,18.417000,21.089001,21.089001,1688096000
2015-05-01,21.191000,21.950001,20.727501,21.461500,21.461500,1039660000
2015-06-01,21.520000,22.351999,20.957001,21.704500,21.704500,1099750000
2015-07-01,21.967501,29.028500,21.278500,26.807501,26.807501,2041400000
2015-08-01,26.872499,27.136999,22.549999,25.644501,25.644501,1657264000
2015-09-01,24.957001,27.489000,24.525000,25.594500,25.594500,1535378000
2015-10-01,25.549999,31.535999,25.299999,31.295000,31.295000,1942522000
2015-11-01,31.356501,34.138500,31.020500,33.240002,33.240002,1746098000
2015-12-01,33.687500,34.821999,31.763500,33.794498,33.794498,1803750000
2016-01-01,32.814499,32.886002,27.358999,29.350000,29.350000,2604018000
2016-02-01,28.907499,29.090000,23.700001,27.625999,27.625999,2482896000
2016-03-01,27.814501,30.162001,26.929001,29.681999,29.681999,1880190000
2016-04-01,29.524500,33.499001,29.262501,32.979500,32.979500,1569284000
2016-05-01,33.195999,36.211498,32.799999,36.139500,36.139500,1812290000
2016-06-01,36.044998,36.575001,34.105999,35.780998,35.780998,1490818000
2016-07-01,35.866001,38.299999,35.827000,37.940498,37.940498,1372710000
2016-08-01,37.993500,38.749001,37.517502,38.458000,38.458000,1000008000
2016-09-01,38.544998,41.997501,37.799999,41.865501,41.865501,1346714000
2016-10-01,41.799999,42.360500,38.730499,39.491001,39.491001,1541276000
2016-11-01,39.950001,40.042000,35.505001,37.528500,37.528500,2201718000
2016-12-01,37.620499,39.123001,36.834999,37.493500,37.493500,1473204000
2017-01-01,37.896000,42.192001,37.384998,41.174000,41.174000,1412280000
2017-02-01,41.460499,43.042999,40.150002,42.251999,42.251999,1434966000
2017-03-01,42.652500,44.517502,41.674999,44.327000,44.327000,1214214000
2017-04-01,44.400002,47.479500,44.224499,46.249500,46.249500,1470794000
2017-05-01,46.389999,50.060001,46.389999,49.730999,49.730999,1524040000
2017-06-01,49.929501,50.849998,46.349998,48.400002,48.400002,1922708000
2017-07-01,48.639500,54.165501,47.549999,49.389000,49.389000,1576248000
2017-08-01,49.805500,50.320000,46.816502,49.029999,49.029999,1547836000
2017-09-01,49.209999,50.000000,46.587502,48.067501,48.067501,1185836000
2017-10-01,48.200001,56.139500,47.518501,55.264000,55.264000,1666682000
2017-11-01,55.270000,60.670502,54.343498,58.837502,58.837502,1543300000
2017-12-01,58.602501,59.738998,56.237000,58.473499,58.473499,1155204000
2018-01-01,58.599998,73.628998,58.525501,72.544502,72.544502,1927424000
2018-02-01,72.250000,76.434998,63.296501,75.622498,75.622498,2755680000
2018-03-01,75.680000,80.876999,68.260002,72.366997,72.366997,2608002000
2018-04-01,70.880997,81.904999,67.643997,78.306503,78.306503,2598392000
2018-05-01,78.161003,81.750000,77.301003,81.481003,81.481003,1432310000
2018-06-01,81.851501,88.154999,81.754501,84.989998,84.989998,1718826000
2018-07-01,84.135002,94.002502,83.903000,88.872002,88.872002,1950422000
